period_start,review_count,low_score_ratio,average_rating
2010-04-19,6,0.8333333333333334,1.5
2010-04-26,15,0.26666666666666666,2.6666666666666665
2010-05-03,11,0.2727272727272727,2.6363636363636362
2010-05-10,26,0.38461538461538464,2.423076923076923
2010-05-17,17,0.35294117647058826,2.3529411764705883
2010-05-24,18,0.5555555555555556,2.1666666666666665
2010-05-31,7,0.14285714285714285,2.7142857142857144
2010-06-07,25,0.4,2.36
2010-06-14,9,0.6666666666666666,2.0
2010-06-21,15,0.4666666666666667,2.2
2010-06-28,14,0.6428571428571429,1.9285714285714286
2010-07-05,17,0.47058823529411764,2.176470588235294
2010-07-12,18,0.3888888888888889,2.388888888888889
2010-07-19,22,0.18181818181818182,2.6818181818181817
2010-07-26,25,0.56,1.96
2010-08-02,34,0.6764705882352942,1.7647058823529411
2010-08-09,21,0.5238095238095238,2.0952380952380953
2010-08-16,27,0.5185185185185185,2.2222222222222223
2010-08-23,17,0.5294117647058824,2.0588235294117645
2010-08-30,25,0.48,2.2
2010-09-06,27,0.5555555555555556,2.074074074074074
2010-09-13,14,0.42857142857142855,2.142857142857143
2010-09-20,17,0.7058823529411765,1.9411764705882353
2010-09-27,38,0.6052631578947368,1.9473684210526316
2010-10-04,11,0.5454545454545454,2.1818181818181817
2010-10-11,14,0.7142857142857143,2.0
2010-10-18,16,0.5625,2.1875
2010-10-25,8,0.625,1.875
2010-11-01,16,0.4375,2.375
2010-11-08,8,0.5,2.125
2010-11-15,13,0.38461538461538464,2.5384615384615383
2010-11-22,11,0.8181818181818182,1.6363636363636365
2010-11-29,22,0.4090909090909091,2.272727272727273
2010-12-06,20,0.65,1.9
2010-12-13,21,0.6190476190476191,1.9523809523809523
2010-12-20,12,0.9166666666666666,1.3333333333333333
2010-12-27,26,0.38461538461538464,2.5
2011-01-03,19,0.5789473684210527,1.9473684210526316
2011-01-10,27,0.6296296296296297,1.8148148148148149
2011-01-17,26,0.5,2.1538461538461537
2011-01-24,18,0.5,2.2222222222222223
2011-01-31,34,0.7352941176470589,1.6176470588235294
2011-02-07,21,0.7619047619047619,1.8571428571428572
2011-02-14,16,0.5625,2.125
2011-02-21,26,0.5,2.1538461538461537
2011-02-28,20,0.4,2.3
2011-03-07,14,0.7142857142857143,1.7857142857142858
2011-03-14,14,0.5714285714285714,2.0
2011-03-21,8,0.75,1.625
2011-03-28,14,0.9285714285714286,1.4285714285714286
2011-04-04,23,0.782608695652174,1.565217391304348
2011-04-11,23,0.5217391304347826,2.1739130434782608
2011-04-18,11,0.7272727272727273,1.7272727272727273
2011-04-25,18,0.5,2.2222222222222223
2011-05-02,11,0.9090909090909091,1.7272727272727273
2011-05-09,16,0.75,1.8125
2011-05-16,11,0.6363636363636364,2.0
2011-05-23,10,0.3,2.4
2011-05-30,6,1.0,1.3333333333333333
2011-06-06,16,0.625,1.9375
2011-06-13,15,0.7333333333333333,1.8
2011-06-20,15,0.6,2.0
2011-06-27,19,0.5263157894736842,2.210526315789474
2011-07-04,13,0.7692307692307693,1.8461538461538463
2011-07-11,8,0.75,1.875
2011-07-18,16,0.6875,1.875
2011-07-25,9,0.5555555555555556,2.0
2011-08-01,10,0.7,1.8
2011-08-08,13,0.6153846153846154,1.8461538461538463
2011-08-15,16,0.875,1.6875
2011-08-22,22,0.5909090909090909,2.1363636363636362
2011-08-29,10,0.3,2.5
2011-09-05,8,0.75,1.875
2011-09-12,14,0.7142857142857143,1.7142857142857142
2011-09-19,17,0.5294117647058824,2.176470588235294
2011-09-26,18,0.6111111111111112,2.3333333333333335
2011-10-03,10,0.9,1.5
2011-10-10,8,0.5,2.25
2011-10-17,13,0.5384615384615384,2.1538461538461537
2011-10-24,8,0.5,2.375
2011-10-31,9,0.6666666666666666,1.8888888888888888
2011-11-07,3,0.6666666666666666,2.0
2011-11-14,7,0.7142857142857143,1.8571428571428572
2011-11-21,8,0.75,1.875
2011-11-28,8,1.0,1.375
2011-12-05,14,0.7857142857142857,1.5
2011-12-12,17,0.47058823529411764,2.176470588235294
2011-12-19,15,0.7333333333333333,1.6
2011-12-26,9,0.6666666666666666,1.7777777777777777
2012-01-02,8,0.625,1.875
2012-01-09,12,0.5833333333333334,2.0833333333333335
2012-01-16,6,1.0,1.6666666666666667
2012-01-23,20,0.75,1.55
2012-01-30,18,0.8333333333333334,1.5
2012-02-06,16,0.75,1.6875
2012-02-13,19,0.8421052631578947,1.4210526315789473
2012-02-20,19,0.5789473684210527,2.0526315789473686
2012-02-27,22,0.8636363636363636,1.4545454545454546
2012-03-05,29,0.5517241379310345,2.206896551724138
